id;name;city;country
6f2e1535-dc61-4d34-81c5-b3d234bc1e66;Planner;Theronchester;Israel
32f1a0aa-d53e-4e9e-a477-a382c2e5f0a9;Tunnel generation;Baumbachfort;Paraguay
c8470005-e1f7-435e-9eb4-24395a947463;Zambia;South Isaias;Sao Tome and Principe
bfbffaa8-64d5-485d-b4d6-31c2734bcf33;incremental;Wilhelmineview;Syrian Arab Republic
2d87befb-0f8e-45a6-b924-3cb17bd3141d;fuchsia yellow;Josetown;Isle of Man
2a715975-1365-40d5-900a-49f37e634347;framework Polarised;East Bethmouth;Saint Martin
200baf5c-5466-4731-89ef-16023873dd17;driver COM;Lake Brando;Timor-Leste
7013f264-6b31-44f8-bb05-17be0134a60c;Baby;North Vitoland;Germany
d42044bb-0b34-447f-aa25-650ce3741aa7;California National;Alecborough;Nepal
7f2a1973-10c7-4070-846f-4c19444ade12;transmitting AI;Tacoma;Bahrain
