id;name;description;address;city;country;phone;email
3470da62-5c11-499d-ac5c-7c61a547caaf;Compatible Avon revolutionize;Account Mouse Web;SMTP Computer e-commerce;South Dejachester;Mali;"(393-2957839";"ys6P@myIPjf.bMYQ"
ce3305c8-b909-46d2-9c4b-70d680c3fca4;leverage Plastic;Credit;connect;Lake Rebeka;Pakistan;"+24 620.8194169";"fQPrk@CYYNk.BknI"
1598768a-e03f-442c-83a6-00accc3ef80c;Berkshire Orchestrator;customer Configuration;Account Human Spur;Lake Vergiebury;Argentina;"+14 660)813 4221";"TjA_@KA.REp"
be754c1c-aea1-406f-91ba-cfc538770a2f;Dynamic payment homogeneous;Customer recontextualize Applications;California GB Nevada;Port Clairehaven;Kazakhstan;"+0 (5339872991";"-OuqR@yNcj.OhrVJ"
0a22f5bf-9611-4e50-aa6a-071783622326;Fantastic users;overriding;navigate Mouse withdrawal;Folsom;Bulgaria;"+114 717)-6834033";"o.@c.ts"
29607b9b-80f5-4cb2-8ef3-9e323153f92b;Meadow Senior Prairie;multi-state Bike deliver;Bacon;Port Giovanichester;Guatemala;"(499)287 7076";"Iy7a@k.fZYAY"
5eca9242-e171-450e-8fdf-70d6aaf93dad;copying Soap copy;Programmable;Montserrat Buckinghamshire Borders;Ornmouth;Isle of Man;"+2 (580.606-3902";"MGWn9O@tkylWg.BZ"
9294667a-1f72-4584-96c4-f2e8dac48e55;Togo executive ivory;Card program systems;implement Senior calculate;North Stella;Angola;"794)926 3646";"hcg6@AzW.Rdq"
47090ec7-9655-48f8-8548-8935344681d6;user policy Fantastic;applications;mission-critical Investor;East Melvin;Somalia;"196.349 1749";"y2fSvo@29lFS1.NbIhZ"
5e9bd72a-b5a3-44be-8359-40020bd17c91;deposit B2C Account;indigo;Wooden;Estefaniaburgh;Montenegro;"(925)-6877851";"R7F@_kgbQF.COu"
